Starting negotiation session.
Round 1
  Turn 1: Party 1       (Offer: Bid[a: a3, b: b1, c: c4, d: d7, e: e8, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 26
  Turn 1: Party 1       (Offer: Bid[a: a7, b: b8, c: c10, d: d7, e: e8, f: f10, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d5, e: e5, f: f5, ])
Round 27
  Turn 1: Party 1       (Offer: Bid[a: a8, b: b3, c: c1, d: d1, e: e4, f: f7, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e7, f: f5, ])
Round 28
  Turn 1: Party 1       (Offer: Bid[a: a6, b: b5, c: c1, d: d1, e: e4, f: f1, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a5, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 29
  Turn 1: Party 1       (Offer: Bid[a: a7, b: b10, c: c9, d: d9, e: e1, f: f10, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e5, f: f5, ])
Round 30
  Turn 1: Party 1       (Offer: Bid[a: a7, b: b8, c: c10, d: d7, e: e2, f: f10, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e7, f: f5, ])
Round 31
  Turn 1: Party 1       (Offer: Bid[a: a1, b: b1, c: c1, d: d1, e: e4, f: f7, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d10, e: e7, f: f5, ])
Round 32
  Turn 1: Party 1       (Offer: Bid[a: a7, b: b10, c: c9, d: d9, e: e2, f: f10, ])
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b6, c: c9, d: d5, e: e5, f: f5, ])
Round 33
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 34
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 35
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 36
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 37
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 38
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 39
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 40
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 41
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 42
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 43
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 44
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 45
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 46
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 47
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 48
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 49
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 50
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 51
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 52
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 53
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 54
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 55
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 56
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 57
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 58
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 59
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 60
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 61
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 62
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 63
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 64
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 65
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 66
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 67
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 68
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 69
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 70
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 71
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 72
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 73
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 74
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a8, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 75
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a8, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 76
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a8, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 77
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a8, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 78
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a8, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 79
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a8, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 80
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f8, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 81
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f8, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 82
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f8, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 83
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a1, b: b9, c: c4, d: d1, e: e10, f: f8, ])
  Turn 3: Party 3       (Offer: Bid[a: a3, b: b4, c: c9, d: d7, e: e10, f: f5, ])
Round 84
  Turn 1: Party 1       (Accept)
  Turn 2: Party 2       (Offer: Bid[a: a10, b: b9, c: c2, d: d1, e: e10, f: f9, ])
  Turn 3: Party 3       (Accept)
Round 85
  Turn 1: Party 1       (Accept)
Found an agreement: Bid[a: a10, b: b9, c: c2, d: d1, e: e10, f: f9, ]
Finished negotiation session in 0.272s
Time (s):		0.272320775
Rounds:		85
Agreement?:		Yes
Discounted?:		No
3
Min. utility:		0.55000
Max. utility:		0.98000
Distance to pareto:	0.05385
Distance to Nash:	0.39875
Social welfare:		2.23000
Agent utility:		0.70000 (Party 1)
Agent utility:		0.98000 (Party 2)
Agent utility:		0.55000 (Party 3)

